[INFO] Initializing Reborn VIO Automation Server...
[INFO] Local ADB path configured: /Volumes/SSD_cua_Dung/android_studio/platform-tools/adb
[INFO] Local AAPT path configured: /Volumes/SSD_cua_Dung/android_studio/build-tools/37.0.0/aapt
 * Serving Flask app 'server' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on http://192.168.0.101:5000/ (Press CTRL+C to quit)
127.0.0.1 - - [01/Jun/2026 22:49:44] "GET /api/devices HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:44] "GET /api/device-screen/f8d421db?t=1780328982450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:45] "GET /api/device-screen/f8d421db?t=1780328983250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:45] "GET /api/device-screen/f8d421db?t=1780328984050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:46] "GET /api/device-screen/f8d421db?t=1780328984850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:47] "GET /api/device-screen/f8d421db?t=1780328985650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:48] "GET /api/device-screen/f8d421db?t=1780328986451 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:49] "GET /api/device-screen/f8d421db?t=1780328987250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:49] "GET /api/device-screen/f8d421db?t=1780328988050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:50] "GET /api/device-screen/f8d421db?t=1780328988850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:51] "GET /api/device-screen/f8d421db?t=1780328989651 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:52] "GET /api/devices HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:52] "GET /api/device-screen/f8d421db?t=1780328990451 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:53] "GET /api/device-screen/f8d421db?t=1780328991249 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:53] "GET /api/device-screen/f8d421db?t=1780328992050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:54] "GET /api/device-screen/f8d421db?t=1780328992851 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:57] "GET /api/device-screen/f8d421db?t=1780328995200 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:57] "GET /api/device-screen/f8d421db?t=1780328995249 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:57] "GET /api/device-screen/f8d421db?t=1780328996050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:58] "GET /api/device-screen/f8d421db?t=1780328996850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:49:59] "GET /api/device-screen/f8d421db?t=1780328997651 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:00] "GET /api/devices HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:00] "GET /api/device-screen/f8d421db?t=1780328998450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:01] "GET /api/device-screen/f8d421db?t=1780328999250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:01] "GET /api/device-screen/f8d421db?t=1780329000050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:02] "GET /api/device-screen/f8d421db?t=1780329000850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:03] "GET /api/device-screen/f8d421db?t=1780329001651 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:04] "GET /api/device-screen/f8d421db?t=1780329002450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:05] "GET /api/device-screen/f8d421db?t=1780329003250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:05] "GET /api/device-screen/f8d421db?t=1780329004050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:06] "GET /api/device-screen/f8d421db?t=1780329004851 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:07] "GET /api/device-screen/f8d421db?t=1780329005650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:08] "GET /api/devices HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:08] "GET /api/device-screen/f8d421db?t=1780329006450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:09] "GET /api/device-screen/f8d421db?t=1780329007250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:09] "GET /api/device-screen/f8d421db?t=1780329008050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:10] "GET /api/device-screen/f8d421db?t=1780329008851 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:11] "GET /api/device-screen/f8d421db?t=1780329009650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:12] "GET /api/device-screen/f8d421db?t=1780329010450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:13] "GET /api/device-screen/f8d421db?t=1780329011251 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:13] "GET /api/logs-stream HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:13] "POST /api/run HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:13] "GET /api/device-screen/f8d421db?t=1780329012050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:14] "GET /api/device-screen/f8d421db?t=1780329012851 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:16] "GET /api/devices HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:17] "GET /api/device-screen/f8d421db?t=1780329015251 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:17] "GET /api/device-screen/f8d421db?t=1780329016050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:18] "GET /api/device-screen/f8d421db?t=1780329016850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:19] "GET /api/device-screen/f8d421db?t=1780329017651 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:20] "GET /api/device-screen/f8d421db?t=1780329018450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:21] "GET /api/device-screen/f8d421db?t=1780329019250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:21] "GET /api/device-screen/f8d421db?t=1780329020050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:22] "GET /api/device-screen/f8d421db?t=1780329020851 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:23] "GET /api/device-screen/f8d421db?t=1780329021650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:24] "GET /api/devices HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:24] "GET /api/device-screen/f8d421db?t=1780329022451 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:25] "GET /api/device-screen/f8d421db?t=1780329023250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:25] "GET /api/device-screen/f8d421db?t=1780329024050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:25] "GET /api/logs-stream HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:26] "POST /api/run HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:26] "GET /api/device-screen/f8d421db?t=1780329024850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:27] "GET /api/device-screen/f8d421db?t=1780329025650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:29] "GET /api/device-screen/f8d421db?t=1780329028050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:30] "GET /api/device-screen/f8d421db?t=1780329028849 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:31] "GET /api/device-screen/f8d421db?t=1780329029650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:32] "GET /api/devices HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:32] "GET /api/device-screen/f8d421db?t=1780329030450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:33] "GET /api/device-screen/f8d421db?t=1780329031250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:33] "GET /api/device-screen/f8d421db?t=1780329032050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:34] "GET /api/logs-stream HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:34] "GET /api/device-screen/f8d421db?t=1780329032849 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:35] "POST /api/run HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:35] "GET /api/device-screen/f8d421db?t=1780329033651 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:36] "GET /api/device-screen/f8d421db?t=1780329034450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:38] "GET /api/device-screen/f8d421db?t=1780329036850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:39] "GET /api/device-screen/f8d421db?t=1780329037651 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:40] "GET /api/devices HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:40] "GET /api/device-screen/f8d421db?t=1780329038450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:41] "GET /api/device-screen/f8d421db?t=1780329039250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:41] "GET /api/device-screen/f8d421db?t=1780329040050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:42] "GET /api/device-screen/f8d421db?t=1780329040850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:43] "GET /api/device-screen/f8d421db?t=1780329041650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:44] "GET /api/device-screen/f8d421db?t=1780329042451 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:45] "GET /api/device-screen/f8d421db?t=1780329043251 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:45] "GET /api/device-screen/f8d421db?t=1780329044050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:46] "GET /api/device-screen/f8d421db?t=1780329044851 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:47] "GET /api/device-screen/f8d421db?t=1780329045651 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:48] "GET /api/devices HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:48] "GET /api/device-screen/f8d421db?t=1780329046450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:49] "GET /api/device-screen/f8d421db?t=1780329047250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:49] "GET /api/device-screen/f8d421db?t=1780329048050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:50] "GET /api/device-screen/f8d421db?t=1780329048850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:51] "GET /api/device-screen/f8d421db?t=1780329049650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:52] "GET /api/device-screen/f8d421db?t=1780329050450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:53] "GET /api/device-screen/f8d421db?t=1780329051251 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:53] "GET /api/device-screen/f8d421db?t=1780329052050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:54] "GET /api/device-screen/f8d421db?t=1780329052851 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:55] "GET /api/device-screen/f8d421db?t=1780329053651 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:56] "GET /api/devices HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:56] "GET /api/device-screen/f8d421db?t=1780329054450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:57] "GET /api/device-screen/f8d421db?t=1780329055250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:57] "GET /api/device-screen/f8d421db?t=1780329056050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:58] "GET /api/device-screen/f8d421db?t=1780329056850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:50:59] "GET /api/device-screen/f8d421db?t=1780329057651 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:00] "GET /api/device-screen/f8d421db?t=1780329058450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:01] "GET /api/device-screen/f8d421db?t=1780329059249 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:01] "GET /api/device-screen/f8d421db?t=1780329060050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:02] "GET /api/device-screen/f8d421db?t=1780329060850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:03] "GET /api/device-screen/f8d421db?t=1780329061650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:04] "GET /api/devices HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:04] "GET /api/device-screen/f8d421db?t=1780329062449 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:05] "GET /api/device-screen/f8d421db?t=1780329063250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:05] "GET /api/device-screen/f8d421db?t=1780329064050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:06] "GET /api/device-screen/f8d421db?t=1780329064850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:07] "GET /api/logs-stream HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:07] "GET /api/device-screen/f8d421db?t=1780329065649 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:08] "POST /api/run HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:08] "GET /api/device-screen/f8d421db?t=1780329066450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:09] "GET /api/device-screen/f8d421db?t=1780329067250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:11] "GET /api/device-screen/f8d421db?t=1780329069650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:12] "GET /api/devices HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:12] "GET /api/device-screen/f8d421db?t=1780329070451 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:13] "GET /api/device-screen/f8d421db?t=1780329071250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:13] "GET /api/device-screen/f8d421db?t=1780329072050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:14] "GET /api/device-screen/f8d421db?t=1780329072856 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:15] "GET /api/device-screen/f8d421db?t=1780329073650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:16] "GET /api/device-screen/f8d421db?t=1780329074449 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:17] "GET /api/device-screen/f8d421db?t=1780329075249 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:17] "GET /api/device-screen/f8d421db?t=1780329076050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:18] "GET /api/logs-stream HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:18] "POST /api/run HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:18] "GET /api/device-screen/f8d421db?t=1780329076850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:19] "GET /api/device-screen/f8d421db?t=1780329077650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:20] "GET /api/devices HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:21] "GET /api/device-screen/f8d421db?t=1780329080050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:22] "GET /api/device-screen/f8d421db?t=1780329080850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:23] "GET /api/device-screen/f8d421db?t=1780329082450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:23] "GET /api/device-screen/f8d421db?t=1780329083250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:23] "GET /api/device-screen/f8d421db?t=1780329081650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:25] "GET /api/device-screen/f8d421db?t=1780329084051 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:26] "GET /api/device-screen/f8d421db?t=1780329084850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:27] "GET /api/device-screen/f8d421db?t=1780329085650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:27] "GET /api/device-screen/f8d421db?t=1780329086450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:27] "GET /api/device-screen/f8d421db?t=1780329087251 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:28] "GET /api/devices HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:28] "GET /api/device-screen/f8d421db?t=1780329088051 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:29] "GET /api/device-screen/f8d421db?t=1780329088850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:30] "GET /api/device-screen/f8d421db?t=1780329089650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:31] "GET /api/device-screen/f8d421db?t=1780329090449 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:31] "GET /api/device-screen/f8d421db?t=1780329091250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:32] "GET /api/device-screen/f8d421db?t=1780329092050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:33] "GET /api/device-screen/f8d421db?t=1780329092850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:34] "GET /api/device-screen/f8d421db?t=1780329093651 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:35] "GET /api/device-screen/f8d421db?t=1780329094450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:35] "GET /api/device-screen/f8d421db?t=1780329095251 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:36] "GET /api/devices HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:36] "GET /api/device-screen/f8d421db?t=1780329096051 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:37] "GET /api/device-screen/f8d421db?t=1780329096850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:38] "GET /api/device-screen/f8d421db?t=1780329097650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:39] "GET /api/device-screen/f8d421db?t=1780329098450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:39] "GET /api/device-screen/f8d421db?t=1780329099250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:40] "GET /api/device-screen/f8d421db?t=1780329100050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:41] "GET /api/device-screen/f8d421db?t=1780329100850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:42] "GET /api/device-screen/f8d421db?t=1780329101650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:43] "GET /api/device-screen/f8d421db?t=1780329102450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:43] "GET /api/device-screen/f8d421db?t=1780329103250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:44] "GET /api/devices HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:44] "GET /api/device-screen/f8d421db?t=1780329104051 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:45] "GET /api/device-screen/f8d421db?t=1780329104850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:46] "GET /api/device-screen/f8d421db?t=1780329105650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:47] "GET /api/device-screen/f8d421db?t=1780329106450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:47] "GET /api/device-screen/f8d421db?t=1780329107250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:48] "GET /api/device-screen/f8d421db?t=1780329108050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:49] "GET /api/device-screen/f8d421db?t=1780329108850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:50] "GET /api/device-screen/f8d421db?t=1780329109650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:51] "GET /api/device-screen/f8d421db?t=1780329110450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:51] "GET /api/device-screen/f8d421db?t=1780329111251 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:52] "GET /api/devices HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:52] "GET /api/device-screen/f8d421db?t=1780329112051 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:53] "GET /api/device-screen/f8d421db?t=1780329112850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:54] "GET /api/device-screen/f8d421db?t=1780329113651 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:55] "GET /api/device-screen/f8d421db?t=1780329114450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:55] "GET /api/device-screen/f8d421db?t=1780329115250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:56] "GET /api/device-screen/f8d421db?t=1780329116050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:57] "GET /api/device-screen/f8d421db?t=1780329116850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:58] "GET /api/device-screen/f8d421db?t=1780329117650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:59] "GET /api/device-screen/f8d421db?t=1780329118450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:51:59] "GET /api/device-screen/f8d421db?t=1780329119250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:52:00] "GET /api/devices HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:52:00] "GET /api/device-screen/f8d421db?t=1780329120051 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:52:01] "GET /api/device-screen/f8d421db?t=1780329120850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:52:02] "GET /api/device-screen/f8d421db?t=1780329121651 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:52:03] "GET /api/device-screen/f8d421db?t=1780329122450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:52:03] "GET /api/device-screen/f8d421db?t=1780329123249 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:52:04] "GET /api/device-screen/f8d421db?t=1780329124050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:52:05] "GET /api/device-screen/f8d421db?t=1780329124850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:52:06] "GET /api/device-screen/f8d421db?t=1780329125651 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:52:07] "GET /api/device-screen/f8d421db?t=1780329126450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:52:07] "GET /api/device-screen/f8d421db?t=1780329127250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:52:08] "GET /api/devices HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:52:08] "GET /api/device-screen/f8d421db?t=1780329128051 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:52:09] "GET /api/device-screen/f8d421db?t=1780329128850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:52:10] "GET /api/device-screen/f8d421db?t=1780329129650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:52:11] "GET /api/device-screen/f8d421db?t=1780329130450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:52:11] "GET /api/device-screen/f8d421db?t=1780329131250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:52:12] "GET /api/device-screen/f8d421db?t=1780329132050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:52:13] "GET /api/device-screen/f8d421db?t=1780329132850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:52:14] "GET /api/device-screen/f8d421db?t=1780329133650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:52:15] "GET /api/device-screen/f8d421db?t=1780329134450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:52:15] "GET /api/device-screen/f8d421db?t=1780329135250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:52:16] "GET /api/devices HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:52:16] "GET /api/device-screen/f8d421db?t=1780329136050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:52:17] "GET /api/device-screen/f8d421db?t=1780329136850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:52:18] "GET /api/device-screen/f8d421db?t=1780329137650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:52:19] "GET /api/device-screen/f8d421db?t=1780329138450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:52:19] "GET /api/device-screen/f8d421db?t=1780329139250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:52:20] "GET /api/device-screen/f8d421db?t=1780329140050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:52:21] "GET /api/device-screen/f8d421db?t=1780329140850 HTTP/1.1" 200 -
