[INFO] Initializing Reborn VIO Automation Server...
[INFO] Local ADB path configured: /Volumes/SSD_cua_Dung/android_studio/platform-tools/adb
[INFO] Local AAPT path configured: /Volumes/SSD_cua_Dung/android_studio/build-tools/37.0.0/aapt
 * Serving Flask app 'server' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on http://192.168.0.101:5000/ (Press CTRL+C to quit)
127.0.0.1 - - [01/Jun/2026 22:47:47] "GET /api/device-screen/f8d421db?t=1780328865650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:48] "GET /api/device-screen/f8d421db?t=1780328866450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:48] "GET /api/device-screen/f8d421db?t=1780328867250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:49] "GET /api/device-screen/f8d421db?t=1780328868050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:50] "GET /api/device-screen/f8d421db?t=1780328868850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:51] "GET /api/device-screen/f8d421db?t=1780328869650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:52] "GET /api/devices HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:52] "GET /api/device-screen/f8d421db?t=1780328870450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:52] "GET /api/device-screen/f8d421db?t=1780328871250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:53] "GET /api/device-screen/f8d421db?t=1780328872050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:54] "GET /api/device-screen/f8d421db?t=1780328872850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:55] "GET /api/device-screen/f8d421db?t=1780328873650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:56] "GET /api/device-screen/f8d421db?t=1780328874450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:56] "GET /api/device-screen/f8d421db?t=1780328875250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:57] "GET /api/device-screen/f8d421db?t=1780328876050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:58] "GET /api/device-screen/f8d421db?t=1780328876850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:47:59] "GET /api/device-screen/f8d421db?t=1780328877650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:00] "GET /api/devices HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:00] "GET /api/device-screen/f8d421db?t=1780328878450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:01] "GET /api/device-screen/f8d421db?t=1780328879251 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:01] "GET /api/device-screen/f8d421db?t=1780328880050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:02] "GET /api/device-screen/f8d421db?t=1780328880850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:03] "GET /api/device-screen/f8d421db?t=1780328881651 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:03] "GET /api/device-screen/f8d421db?t=1780328880050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:04] "GET /api/device-screen/f8d421db?t=1780328882450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:04] "GET /api/device-screen/f8d421db?t=1780328880850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:05] "GET /api/device-screen/f8d421db?t=1780328883250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:05] "GET /api/device-screen/f8d421db?t=1780328884050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:06] "GET /api/device-screen/f8d421db?t=1780328884850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:07] "GET /api/device-screen/f8d421db?t=1780328885650 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:08] "GET /api/devices HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:08] "GET /api/device-screen/f8d421db?t=1780328886450 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:09] "GET /api/device-screen/f8d421db?t=1780328887250 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:09] "GET /api/device-screen/f8d421db?t=1780328888050 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:10] "GET /api/device-screen/f8d421db?t=1780328888850 HTTP/1.1" 200 -
127.0.0.1 - - [01/Jun/2026 22:48:11] "GET /api/device-screen/f8d421db?t=1780328889650 HTTP/1.1" 200 -
